"Odonate","Prey","Replicate","N_given","N_eaten","body_mass","bm","size_class"
6,"Dashyelea",1,1,1,0.07368,0.07,"Small"
7,"Dashyelea",1,2,0,0.07368,0.07,"Small"
8,"Dashyelea",1,5,5,0.07368,0.07,"Small"
9,"Dashyelea",1,7,6,0.07368,0.07,"Small"
10,"Dashyelea",1,10,10,0.07368,0.07,"Small"
11,"Dashyelea",1,20,12,0.07368,0.07,"Small"
12,"Culex",1,1,1,0.09062,0.09,"Small"
13,"Culex",1,2,1,0.09062,0.09,"Small"
14,"Culex",1,5,1,0.09062,0.09,"Small"
15,"Culex",1,7,5,0.09062,0.09,"Small"
16,"Culex",1,10,5,0.09062,0.09,"Small"
18,"Tipulid",1,1,1,0.293540000000001,0.29,"Medium"
19,"Tipulid",1,2,0,0.293540000000001,0.29,"Medium"
20,"Tipulid",1,3,1,0.293540000000001,0.29,"Medium"
21,"Tipulid",1,4,3,0.293540000000001,0.29,"Medium"
22,"Tipulid",1,5,2,0.293540000000001,0.29,"Medium"
23,"Oligochaete",1,1,1,0.1242083,0.12,"Small"
24,"Oligochaete",1,2,2,0.1242083,0.12,"Small"
25,"Oligochaete",1,5,5,0.1242083,0.12,"Small"
26,"Oligochaete",1,7,1,0.1242083,0.12,"Small"
27,"Oligochaete",1,10,2,0.1242083,0.12,"Small"
28,"Oligochaete",1,20,6,0.1242083,0.12,"Small"
29,"Culex",2,1,0,0.09062,0.09,"Small"
30,"Culex",2,2,1,0.09062,0.09,"Small"
31,"Culex",2,5,1,0.09062,0.09,"Small"
32,"Culex",2,7,2,0.09062,0.09,"Small"
33,"Culex",2,10,7,0.09062,0.09,"Small"
35,"Dashyelea",2,1,1,0.07368,0.07,"Small"
36,"Dashyelea",2,2,2,0.07368,0.07,"Small"
37,"Dashyelea",2,5,5,0.07368,0.07,"Small"
38,"Dashyelea",2,7,7,0.07368,0.07,"Small"
39,"Dashyelea",2,10,10,0.07368,0.07,"Small"
40,"Dashyelea",2,20,20,0.07368,0.07,"Small"
41,"Oligochaete",2,1,0,0.1242083,0.12,"Small"
42,"Oligochaete",2,2,0,0.1242083,0.12,"Small"
43,"Oligochaete",2,5,0,0.1242083,0.12,"Small"
44,"Oligochaete",2,7,1,0.1242083,0.12,"Small"
45,"Oligochaete",2,10,5,0.1242083,0.12,"Small"
46,"Oligochaete",2,20,10,0.1242083,0.12,"Small"
47,"Tipulid",2,1,0,0.293540000000001,0.29,"Medium"
48,"Tipulid",2,2,0,0.293540000000001,0.29,"Medium"
49,"Tipulid",2,3,2,0.293540000000001,0.29,"Medium"
50,"Tipulid",2,4,0,0.293540000000001,0.29,"Medium"
51,"Tipulid",2,5,1,0.293540000000001,0.29,"Medium"
58,"Dashyelea",3,1,1,0.07368,0.07,"Small"
59,"Dashyelea",3,2,2,0.07368,0.07,"Small"
60,"Dashyelea",3,5,3,0.07368,0.07,"Small"
61,"Dashyelea",3,7,7,0.07368,0.07,"Small"
62,"Dashyelea",3,10,10,0.07368,0.07,"Small"
63,"Dashyelea",3,20,17,0.07368,0.07,"Small"
64,"Oligochaete",3,1,1,0.1242083,0.12,"Small"
65,"Oligochaete",3,2,1,0.1242083,0.12,"Small"
66,"Oligochaete",3,5,2,0.1242083,0.12,"Small"
67,"Oligochaete",3,7,7,0.1242083,0.12,"Small"
68,"Oligochaete",3,10,3,0.1242083,0.12,"Small"
69,"Oligochaete",3,20,10,0.1242083,0.12,"Small"
70,"Tipulid",3,1,1,0.293540000000001,0.29,"Medium"
71,"Tipulid",3,2,1,0.293540000000001,0.29,"Medium"
18,"Scirtes",2,1,0,0.4344,0.43,"Large"
19,"Scirtes",2,2,1,0.4344,0.43,"Large"
20,"Scirtes",2,3,0,0.4344,0.43,"Large"
21,"Scirtes",2,4,1,0.4344,0.43,"Large"
22,"Scirtes",2,5,0,0.4344,0.43,"Large"
41,"Culex",3,1,0,0.09062,0.09,"Small"
42,"Culex",3,2,0,0.09062,0.09,"Small"
43,"Culex",3,5,2,0.09062,0.09,"Small"
44,"Culex",3,7,1,0.09062,0.09,"Small"
45,"Culex",3,10,1,0.09062,0.09,"Small"
46,"Culex",3,20,6,0.09062,0.09,"Small"
47,"Scirtes",3,1,0,0.4344,0.43,"Large"
48,"Scirtes",3,2,0,0.4344,0.43,"Large"
49,"Scirtes",3,3,1,0.4344,0.43,"Large"
50,"Scirtes",3,4,0,0.4344,0.43,"Large"
51,"Scirtes",3,5,0,0.4344,0.43,"Large"
67,"Tipulid",3,1,1,0.293540000000001,0.29,"Medium"
68,"Tipulid",3,2,0,0.293540000000001,0.29,"Medium"
69,"Tipulid",3,3,1,0.293540000000001,0.29,"Medium"
70,"Tipulid",3,4,2,0.293540000000001,0.29,"Medium"
79,"Scirtes",1,5,2,0.4344,0.43,"Large"
17,"Dashyelea",2,30,30,0.07368,0.07,"Small"
27,"Scirtes",1,3,1,0.4344,0.43,"Large"
28,"Scirtes",1,4,0,0.4344,0.43,"Large"
33,"Scirtes",1,1,1,0.4344,0.43,"Large"
34,"Scirtes",1,2,1,0.4344,0.43,"Large"
39,"Tipulid",1,6,1,0.293540000000001,0.29,"Medium"
40,"Tipulid",2,6,3,0.293540000000001,0.29,"Medium"
45,"Tipulid",3,6,1,0.293540000000001,0.29,"Medium"
70,"Dashyelea",1,30,26,0.07368,0.07,"Small"
71,"Dashyelea",3,30,30,0.07368,0.07,"Small"
4,"Culex",1,20,10,0.09062,0.09,"Small"
18,"Scirtes",1,6,1,0.4344,0.43,"Large"
19,"Scirtes",2,6,1,0.4344,0.43,"Large"
20,"Scirtes",3,6,0,0.4344,0.43,"Large"
27,"Culex",2,20,2,0.09062,0.09,"Small"
33,"Oligochaete",1,30,9,0.1242083,0.12,"Small"
34,"Oligochaete",2,30,1,0.1242083,0.12,"Small"
45,"Oligochaete",3,30,5,0.1242083,0.12,"Small"
79,"Tipulid",3,5,1,0.293540000000001,0.29,"Medium"
1,"Oligochaete",1,60,8,0.1242083,0.12,"Small"
2,"Oligochaete",2,60,11,0.1242083,0.12,"Small"
3,"Oligochaete",3,60,8,0.1242083,0.12,"Small"
4,"Dashyelea",1,60,43,0.07368,0.07,"Small"
5,"Dashyelea",2,60,41,0.07368,0.07,"Small"
6,"Dashyelea",3,60,48,0.07368,0.07,"Small"
7,"Tipulid",1,17,3,0.293540000000001,0.29,"Medium"
8,"Tipulid",2,17,3,0.293540000000001,0.29,"Medium"
9,"Tipulid",3,17,2,0.293540000000001,0.29,"Medium"
10,"ScirtesA",1,30,7,0.3286,0.33,"Large"
11,"ScirtesA",2,30,0,0.3286,0.33,"Large"
12,"ScirtesA",3,30,2,0.3286,0.33,"Large"
13,"Psycodidae",1,30,4,0.21984,0.22,"Medium"
14,"Psycodidae",2,30,6,0.21984,0.22,"Medium"
15,"Psycodidae",3,30,4,0.21984,0.22,"Medium"
16,"Psycodidae",1,10,4,0.21984,0.22,"Medium"
17,"Psycodidae",2,10,7,0.21984,0.22,"Medium"
18,"Psycodidae",3,10,8,0.21984,0.22,"Medium"
19,"Psycodidae",1,5,2,0.21984,0.22,"Medium"
20,"Psycodidae",2,5,1,0.21984,0.22,"Medium"
21,"Psycodidae",3,5,1,0.21984,0.22,"Medium"
22,"Psycodidae",1,2,0,0.21984,0.22,"Medium"
23,"Psycodidae",2,2,0,0.21984,0.22,"Medium"
24,"Psycodidae",3,2,2,0.21984,0.22,"Medium"
1,"CulexE",1,50,10,0.17708,0.18,"Medium"
2,"CulexE",2,50,6,0.17708,0.18,"Medium"
2,"ScirtesA",1,10,1,0.3286,0.33,"Large"
3,"ScirtesA",2,10,0,0.3286,0.33,"Large"
4,"ScirtesA",3,10,1,0.3286,0.33,"Large"
8,"ScirtesA",1,5,0,0.3286,0.33,"Large"
9,"ScirtesA",2,5,0,0.3286,0.33,"Large"
10,"CulexE",3,50,10,0.17708,0.18,"Medium"
11,"CulexE",1,20,8,0.17708,0.18,"Medium"
