"","R1","R2","P","X1","X2","rep"
"1",0,0,0,0.05,0.05,1
"2",0,0,0,0.05,0.05,2
"3",0,0,0,0.05,0.05,3
"4",0,0,0,0.05,0.05,4
"5",0,0,0,0.05,0.05,5
"6",0,0,0,0.05,0.05,6
"7",0,0,0,0.05,0.05,7
"8",0,0,0,0.05,0.05,8
"9",0,0,0,0.05,0.05,9
"10",0,0,0,0.05,0.05,10
"11",0,0,0,0.05,0.06,1
"12",0,0,0,0.05,0.06,2
"13",0,0,0,0.05,0.06,3
"14",0,0,0,0.05,0.06,4
"15",0,0,0,0.05,0.06,5
"16",0,0,0,0.05,0.06,6
"17",0,0,0,0.05,0.06,7
"18",0,0,0,0.05,0.06,8
"19",0,0,0,0.05,0.06,9
"20",0,0,0,0.05,0.06,10
"21",0,0,0,0.05,0.07,1
"22",0,0,0,0.05,0.07,2
"23",0,0,0,0.05,0.07,3
"24",0,0,0,0.05,0.07,4
"25",0,0,0,0.05,0.07,5
"26",0,0,0,0.05,0.07,6
"27",0,0,0,0.05,0.07,7
"28",0,0,0,0.05,0.07,8
"29",0,0,0,0.05,0.07,9
"30",0,0,0,0.05,0.07,10
"31",0,0,0,0.05,0.08,1
"32",0,0,0,0.05,0.08,2
"33",0,0,0,0.05,0.08,3
"34",0,0,0,0.05,0.08,4
"35",0,0,0,0.05,0.08,5
"36",0,0,0,0.05,0.08,6
"37",0,0,0,0.05,0.08,7
"38",0,0,0,0.05,0.08,8
"39",0,0,0,0.05,0.08,9
"40",0,0,0,0.05,0.08,10
"41",0,0,0,0.05,0.09,1
"42",0,0,0,0.05,0.09,2
"43",0,0,0,0.05,0.09,3
"44",0,0,0,0.05,0.09,4
"45",0,0,0,0.05,0.09,5
"46",0,0,0,0.05,0.09,6
"47",0,0,0,0.05,0.09,7
"48",0,0,0,0.05,0.09,8
"49",0,0,0,0.05,0.09,9
"50",0,0,0,0.05,0.09,10
"51",0,0,0,0.05,0.1,1
"52",0,0,0,0.05,0.1,2
"53",0,0,0,0.05,0.1,3
"54",0,0,0,0.05,0.1,4
"55",0,0,0,0.05,0.1,5
"56",0,0,0,0.05,0.1,6
"57",0,0,0,0.05,0.1,7
"58",0,0,0,0.05,0.1,8
"59",0,0,0,0.05,0.1,9
"60",0,0,0,0.05,0.1,10
"61",0,0,0,0.05,0.11,1
"62",0,0,0,0.05,0.11,2
"63",0,0,0,0.05,0.11,3
"64",0,0,0,0.05,0.11,4
"65",0,0,0,0.05,0.11,5
"66",0,0,0,0.05,0.11,6
"67",0,0,0,0.05,0.11,7
"68",0,0,0,0.05,0.11,8
"69",0,0,0,0.05,0.11,9
"70",0,0,0,0.05,0.11,10
"71",0,0,0,0.05,0.12,1
"72",0,0,0,0.05,0.12,2
"73",0,0,0,0.05,0.12,3
"74",0,0,0,0.05,0.12,4
"75",0,0,0,0.05,0.12,5
"76",0,0,0,0.05,0.12,6
"77",0,0,0,0.05,0.12,7
"78",0,0,0,0.05,0.12,8
"79",0,0,0,0.05,0.12,9
"80",0,0,0,0.05,0.12,10
"81",0,0,0,0.05,0.13,1
"82",0,0,0,0.05,0.13,2
"83",0,0,0,0.05,0.13,3
"84",0,0,0,0.05,0.13,4
"85",0,0,0,0.05,0.13,5
"86",0,0,0,0.05,0.13,6
"87",0,0,0,0.05,0.13,7
"88",0,0,0,0.05,0.13,8
